# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Ag-106         1.3185e-99     1.0000e-99
Ag-107         1.0042e-11     7.8472e-12
Ag-108         6.8918e-30     1.0000e-99
Ag-109         2.3086e-11     7.4267e-12
Ag-110         1.1417e-29     1.0000e-99
Ag-111         4.6612e-23     1.0000e-99
Ag-112         1.1100e-58     1.0000e-99
Ag-113         1.3185e-99     1.0000e-99
Cd-102         1.3185e-99     1.0000e-99
Cd-103         1.3185e-99     1.0000e-99
Cd-104         1.3185e-99     1.0000e-99
Cd-105         1.3185e-99     1.0000e-99
Cd-106         8.1322e-13     6.3517e-13
Cd-107         9.8199e-26     1.0000e-99
Cd-108         6.5909e-13     4.6077e-13
Cd-109         7.4476e-20     1.0000e-99
Cd-110         4.7607e-11     6.5861e-12
Cd-111         2.2259e-11     6.8109e-12
Cd-112         6.8600e-11     1.2955e-11
Cd-113         2.3855e-11     6.6195e-12
Cd-114         9.7440e-11     1.5701e-11
Cd-115         1.9362e-20     1.0000e-99
Cd-116         9.8145e-12     4.1650e-12
Cd-117         9.1405e-26     1.0000e-99
Cd-118         1.5490e-58     1.0000e-99
In-106         1.3185e-99     1.0000e-99
In-107         1.3185e-99     1.0000e-99
In-108         1.3185e-99     1.0000e-99
In-109         1.3185e-99     1.0000e-99
In-110         1.3185e-99     1.0000e-99
In-111         1.3185e-99     1.0000e-99
In-112         1.3185e-99     1.0000e-99
In-113         3.3468e-13     2.6062e-13
In-114         2.3523e-31     1.0000e-99
In-115         2.3011e-11     5.9202e-12
In-116         2.1181e-30     1.0000e-99
In-117         3.6705e-26     1.0000e-99
In-118         1.3850e-59     1.0000e-99
In-119         1.3185e-99     1.0000e-99
Sn-108         1.3185e-99     1.0000e-99
Sn-109         1.3185e-99     1.0000e-99
Sn-110         1.3185e-99     1.0000e-99
Sn-111         1.3185e-99     1.0000e-99
Sn-112         1.5664e-12     1.2221e-12
Sn-113         3.0491e-22     1.0000e-99
Sn-114         1.0938e-12     8.4424e-13
Sn-115         5.6685e-13     4.3810e-13
Sn-116         1.2522e-10     1.8949e-11
Sn-117         4.5369e-11     1.0092e-11
Sn-118         1.9320e-10     3.2121e-11
Sn-119         6.0956e-11     1.1480e-11
Sn-120         2.9200e-10     4.3952e-11
Sn-121         2.0296e-22     1.0000e-99
Sn-122         2.2706e-11     6.3463e-12
Sn-123         4.2301e-22     1.0000e-99
Sn-124         1.0556e-11     8.0667e-12
Sn-125         1.6622e-23     1.0000e-99
Sn-126         1.8650e-16     1.0000e-99
Sn-127         2.0021e-30     1.0000e-99
Sn-128         1.3185e-99     1.0000e-99
Sn-129         1.3185e-99     1.0000e-99
Sn-130         1.3185e-99     1.0000e-99
Sb-112         1.3185e-99     1.0000e-99
Sb-113         1.3185e-99     1.0000e-99
Sb-114         1.3185e-99     1.0000e-99
Sb-115         1.3185e-99     1.0000e-99
Sb-116         1.3185e-99     1.0000e-99
Sb-117         1.3185e-99     1.0000e-99
Sb-118         1.3185e-99     1.0000e-99
Sb-119         1.3185e-99     1.0000e-99
Sb-120         1.3185e-99     1.0000e-99
Sb-121         2.6380e-11     6.3234e-12
Sb-122         2.9820e-22     1.0000e-99
Sb-123         8.9685e-12     4.8072e-12
Sb-124         1.3287e-24     1.0000e-99
Sb-125         3.6231e-20     1.0000e-99
Sb-126         3.4834e-23     1.0000e-99
Sb-127         1.6614e-26     1.0000e-99
Sb-128         9.8874e-93     1.0000e-99
Sb-129         1.3185e-99     1.0000e-99
Sb-130         1.3185e-99     1.0000e-99
Sb-131         1.3185e-99     1.0000e-99
Sb-132         1.3185e-99     1.0000e-99
Sb-133         1.3185e-99     1.0000e-99
Te-114         1.3185e-99     1.0000e-99
Te-115         1.3185e-99     1.0000e-99
Te-116         1.3185e-99     1.0000e-99
Te-117         1.3185e-99     1.0000e-99
Te-118         1.3185e-99     1.0000e-99
Te-119         1.3185e-99     1.0000e-99
Te-120         2.0846e-13     1.6298e-13
Te-121         8.1352e-24     1.0000e-99
Te-122         3.5434e-11     4.4927e-12
Te-123         1.2555e-11     1.5800e-12
Te-124         7.2484e-11     8.4485e-12
Te-125         3.6920e-11     1.2625e-11
Te-126         1.6168e-10     3.3783e-11
Te-127         4.1514e-23     1.0000e-99
Te-128         8.8488e-11     5.7380e-11
Te-129         6.0434e-26     1.0000e-99
Te-130         8.0889e-11     6.2161e-11
Te-131         1.0777e-27     1.0000e-99
Te-132         1.2332e-58     1.0000e-99
Te-133         1.3185e-99     1.0000e-99
Te-134         1.3185e-99     1.0000e-99
I-117          1.3185e-99     1.0000e-99
I-118          1.3185e-99     1.0000e-99
I-119          1.3185e-99     1.0000e-99
I-120          1.3185e-99     1.0000e-99
I-121          1.3185e-99     1.0000e-99
I-122          1.3185e-99     1.0000e-99
I-123          1.3185e-99     1.0000e-99
I-124          1.3185e-99     1.0000e-99
I-125          6.2024e-23     1.0000e-99
I-126          1.9580e-29     1.0000e-99
I-127          3.4340e-11     1.4604e-11
I-128          1.0506e-26     1.0000e-99
I-129          3.4581e-13     1.0000e-99
I-130          8.3776e-28     1.0000e-99
I-131          2.0747e-22     1.0000e-99
I-132          2.5184e-39     1.0000e-99
I-133          1.3185e-99     1.0000e-99
I-134          1.3185e-99     1.0000e-99
I-135          1.3185e-99     1.0000e-99
Xe-118         1.3185e-99     1.0000e-99
Xe-119         1.3185e-99     1.0000e-99
Xe-120         1.3185e-99     1.0000e-99
Xe-121         1.3185e-99     1.0000e-99
Xe-122         1.3185e-99     1.0000e-99
Xe-123         1.3185e-99     1.0000e-99
Xe-124         2.8280e-13     2.2115e-13
Xe-125         1.6686e-25     1.0000e-99
Xe-126         2.4987e-13     1.9510e-13
Xe-127         4.9615e-23     1.0000e-99
Xe-128         4.2139e-11     3.9463e-12
Xe-129         7.8534e-11     4.8974e-11
Xe-130         9.4150e-11     7.8721e-12
Xe-131         8.2926e-11     3.9482e-11
Xe-132         2.2950e-10     4.8105e-11
Xe-133         9.1223e-22     1.0000e-99
Xe-134         3.1924e-11     1.7896e-11
Xe-135         5.3806e-24     1.0000e-99
Xe-136         1.9561e-11     1.4797e-11
Xe-137         4.3197e-31     1.0000e-99
Xe-138         1.3185e-99     1.0000e-99
Cs-123         1.3185e-99     1.0000e-99
Cs-124         1.3185e-99     1.0000e-99
Cs-125         1.3185e-99     1.0000e-99
Cs-126         1.3185e-99     1.0000e-99
Cs-127         1.3185e-99     1.0000e-99
Cs-128         1.3185e-99     1.0000e-99
Cs-129         1.3185e-99     1.0000e-99
Cs-130         1.3185e-99     1.0000e-99
Cs-131         3.7256e-24     1.0000e-99
Cs-132         4.5744e-34     1.0000e-99
Cs-133         4.1117e-11     1.4273e-11
Cs-134         1.6204e-19     1.0000e-99
Cs-135         1.2366e-11     1.0000e-99
Cs-136         1.2761e-21     1.0000e-99
Cs-137         9.9903e-15     1.0000e-99
Cs-138         1.2347e-35     1.0000e-99
Cs-139         1.3185e-99     1.0000e-99
Ba-124         1.3185e-99     1.0000e-99
Ba-125         1.3185e-99     1.0000e-99
Ba-126         1.3185e-99     1.0000e-99
Ba-127         1.3185e-99     1.0000e-99
Ba-128         1.3185e-99     1.0000e-99
Ba-129         1.3185e-99     1.0000e-99
Ba-130         2.3219e-13     1.8159e-13
Ba-131         3.5247e-24     1.0000e-99
Ba-132         2.2577e-13     1.7637e-13
Ba-133         1.7874e-23     1.0000e-99
Ba-134         6.2855e-11     4.2762e-12
